City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Verkhniy Baskunchak,RU,85.17,clear sky,48.2256,46.7217,Kombat
2,Westport,US,82.72,broken clouds,41.1415,-73.3579,The Westport Inn
9,Jamestown,US,80.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Surt,LY,84.85,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
17,Wisconsin Rapids,US,77.29,few clouds,44.3836,-89.8174,Hotel Mead & Conference Center
20,La Vega,DO,88.65,clear sky,19.2221,-70.5296,Hotel Rey
21,Sao Miguel Do Iguacu,BR,81.48,broken clouds,-25.3481,-54.2378,Hotel Itaguaçu
29,Axim,GH,78.64,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
30,Beberibe,BR,82.63,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
34,Arraial Do Cabo,BR,82.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
35,Orthez,FR,82.67,scattered clouds,43.4884,-0.7724,Hotel Kyriad Orthez
36,Bageshwar,IN,76.19,overcast clouds,29.85,79.7667,Dangwal house
42,Semnan,IR,88.09,clear sky,35.5729,53.3971,Semnan Tourist Hotel
43,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
46,Kavaratti,IN,81.37,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
49,Hithadhoo,MV,82.9,overcast clouds,-0.6,73.0833,Scoop Guest House
53,Adeje,ES,76.87,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
54,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Central
57,Somerset,US,82.83,broken clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
62,Buchanan,LR,79.68,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
65,Alice Town,BS,83.23,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
66,Uthal,PK,84.94,light rain,25.8072,66.6219,Al-Mustafa Hotel
71,Fort-Shevchenko,KZ,75.02,clear sky,44.5086,50.263,Oasis hotel Bautino
74,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
78,Ugoofaaru,MV,82.69,light rain,5.6667,73.0,Ungoofaaru Inn
79,Santa Rosa,PH,80.11,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
83,Hamilton,US,83.57,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
84,Nueva Italia,PY,83.43,scattered clouds,-25.6167,-57.5,Quinta Che Jazmín
92,Road Town,VG,87.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
98,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
100,Korla,CN,86.77,scattered clouds,41.7597,86.1469,Gulisitan Hotel
102,Puerto Ayacucho,VE,81.14,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
103,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
106,Meulaboh,ID,78.57,scattered clouds,4.1363,96.1285,Kost Pria
107,Hambantota,LK,81.18,overcast clouds,6.1241,81.1185,Bungalow 63
116,Shache,CN,89.11,overcast clouds,38.4167,77.2406,Delong Hotel
119,Hauterive,FR,75.96,few clouds,46.0901,3.4459,Aletti Palace Hotel
120,Vila Franca Do Campo,PT,75.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
122,Batangafo,CF,85.53,scattered clouds,7.3008,18.2833,OCHA Office
123,Grand-Santi,GF,88.43,few clouds,4.25,-54.3833,Hotel La Villa Couacou
124,Winneba,GH,78.19,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
125,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
130,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
135,Muchkapskiy,RU,76.26,few clouds,51.8513,42.4717,Ekonom
136,Coueron,FR,78.75,broken clouds,47.2151,-1.7217,La tremière
137,Djambala,CG,86.4,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
