City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,2022-07-07 16:10:49,-20.4081,57.7,70.09,68,75,16.11,broken clouds
1,Verkhniy Baskunchak,RU,2022-07-07 16:10:49,48.2256,46.7217,85.17,23,0,6.53,clear sky
2,Westport,US,2022-07-07 16:10:41,41.1415,-73.3579,82.72,59,56,4.0,broken clouds
3,Kem,RU,2022-07-07 16:10:49,64.9555,34.5793,59.94,72,100,7.31,overcast clouds
4,Namibe,AO,2022-07-07 16:10:50,-15.1961,12.1522,67.87,80,4,8.75,clear sky
5,Kargasok,RU,2022-07-07 16:10:50,59.0556,80.8572,62.87,70,78,5.53,broken clouds
6,Manaus,BR,2022-07-07 16:09:07,-3.1019,-60.025,90.09,62,40,8.05,scattered clouds
7,Longyearbyen,SJ,2022-07-07 16:10:50,78.2186,15.6401,48.04,53,20,16.11,few clouds
8,Jacareacanga,BR,2022-07-07 16:10:50,-6.2222,-57.7528,93.81,36,3,4.52,clear sky
9,Jamestown,US,2022-07-07 16:10:51,42.097,-79.2353,80.02,64,75,8.05,broken clouds
10,Busselton,AU,2022-07-07 16:10:51,-33.65,115.3333,51.17,79,90,4.83,overcast clouds
11,Punta Arenas,CL,2022-07-07 16:09:21,-53.15,-70.9167,32.11,86,20,10.36,few clouds
12,Surt,LY,2022-07-07 16:10:51,31.2089,16.5887,84.85,61,0,9.69,clear sky
13,Laguna,US,2022-07-07 16:10:52,38.421,-121.4238,71.01,73,0,8.05,clear sky
14,Nanortalik,GL,2022-07-07 16:10:52,60.1432,-45.2371,45.07,88,77,5.35,broken clouds
15,Codrington,AU,2022-07-07 16:10:52,-38.2667,141.9667,51.37,70,92,20.54,overcast clouds
16,Bereda,ES,2022-07-07 16:10:53,43.2686,-7.5406,72.14,84,0,8.88,clear sky
17,Wisconsin Rapids,US,2022-07-07 16:10:53,44.3836,-89.8174,77.29,71,20,5.75,few clouds
18,Sao Felix Do Xingu,BR,2022-07-07 16:10:53,-6.6447,-51.995,91.92,33,2,6.53,clear sky
19,Aswan,EG,2022-07-07 16:10:53,24.0934,32.907,102.25,11,81,9.69,broken clouds
20,La Vega,DO,2022-07-07 16:10:54,19.2221,-70.5296,88.65,42,5,13.06,clear sky
21,Sao Miguel Do Iguacu,BR,2022-07-07 16:10:54,-25.3481,-54.2378,81.48,40,60,8.97,broken clouds
22,Bambous Virieux,MU,2022-07-07 16:10:54,-20.3428,57.7575,70.05,68,75,16.11,broken clouds
23,Bredasdorp,ZA,2022-07-07 16:10:55,-34.5322,20.0403,54.21,83,54,6.49,broken clouds
24,Floro,NO,2022-07-07 16:10:55,61.5996,5.0328,61.23,76,40,10.36,scattered clouds
25,Hermanus,ZA,2022-07-07 16:10:55,-34.4187,19.2345,57.79,86,87,6.42,overcast clouds
26,Aripuana,BR,2022-07-07 16:10:55,-9.1667,-60.6333,93.9,26,4,3.76,clear sky
27,Damaturu,NG,2022-07-07 16:10:56,11.747,11.9608,97.56,28,20,7.63,few clouds
28,Ushuaia,AR,2022-07-07 16:06:05,-54.8,-68.3,33.46,69,20,3.44,few clouds
29,Axim,GH,2022-07-07 16:10:56,4.8699,-2.2405,78.64,78,86,10.36,overcast clouds
30,Beberibe,BR,2022-07-07 16:10:56,-4.1797,-38.1306,82.63,66,99,12.8,overcast clouds
31,Saldanha,ZA,2022-07-07 16:10:57,-33.0117,17.9442,56.97,79,7,5.37,clear sky
32,East London,ZA,2022-07-07 16:10:57,-33.0153,27.9116,66.07,55,0,1.57,clear sky
