City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-07-05 18:40:46,42.097,-79.2353,77.02,79,100,12.66
1,Jacksonville,US,2022-07-05 18:39:03,30.3322,-81.6556,92.1,68,75,16.11
2,Ilebo,CD,2022-07-05 18:42:39,-4.3167,20.5833,82.49,30,100,1.32
3,Makat,KZ,2022-07-05 18:42:40,47.6469,53.3463,67.46,62,35,18.86
4,Caravelas,BR,2022-07-05 18:42:40,-17.7125,-39.2481,76.64,67,0,6.89
5,Vila Franca Do Campo,PT,2022-07-05 18:42:40,37.7167,-25.4333,73.2,76,96,6.89
6,Beisfjord,NO,2022-07-05 18:42:40,68.3751,17.5988,58.05,97,100,1.48
7,Bani Walid,LY,2022-07-05 18:42:41,31.7566,13.9942,84.96,31,0,11.03
8,Matara,LK,2022-07-05 18:41:34,5.9485,80.5353,77.85,87,100,8.46
9,Punta Arenas,CL,2022-07-05 18:40:47,-53.15,-70.9167,30.31,100,20,4.61
10,East London,ZA,2022-07-05 18:40:07,-33.0153,27.9116,61.74,82,20,11.5
11,Visby,SE,2022-07-05 18:40:23,57.6409,18.296,65.05,63,0,11.5
12,Oxford,GB,2022-07-05 18:38:30,51.7522,-1.256,70.05,59,20,9.22
13,Yalta,UA,2022-07-05 18:42:41,44.5,34.1667,74.25,66,0,7.72
14,Ushuaia,AR,2022-07-05 18:38:51,-54.8,-68.3,35.26,69,20,1.14
15,Saldanha,ZA,2022-07-05 18:42:37,-33.0117,17.9442,53.65,79,0,0.74
16,Cape Town,ZA,2022-07-05 18:42:42,-33.9258,18.4232,61.38,85,0,3.44
17,Andenes,NO,2022-07-05 18:42:42,69.3143,16.1194,55.92,87,100,25.32
18,Coruripe,BR,2022-07-05 18:42:42,-10.1256,-36.1756,75.79,81,18,14.05
19,Alexandria,EG,2022-07-05 18:42:43,31.2156,29.9553,80.56,65,0,9.22
20,San Carlos De Bariloche,AR,2022-07-05 18:37:48,-41.1456,-71.3082,41.45,61,100,17.27
21,Port Elizabeth,ZA,2022-07-05 18:42:43,-33.918,25.5701,61.11,97,75,8.05
22,Santa Isabel Do Rio Negro,BR,2022-07-05 18:42:44,-0.4139,-65.0192,85.26,59,97,2.28
23,Dikson,RU,2022-07-05 18:42:44,73.5069,80.5464,36.01,95,100,10.87
24,Luderitz,NA,2022-07-05 18:42:44,-26.6481,15.1594,56.84,63,0,13.15
25,Sioni,GE,2022-07-05 18:42:44,41.9895,45.0239,66.56,54,89,0.63
26,Carnarvon,AU,2022-07-05 18:42:45,-24.8667,113.6333,64.02,48,0,9.69
27,Klaksvik,FO,2022-07-05 18:42:45,62.2266,-6.589,50.92,90,100,6.98
28,Inhambane,MZ,2022-07-05 18:42:45,-23.865,35.3833,65.84,77,0,4.79
29,Birao,CF,2022-07-05 18:42:46,10.2849,22.7882,76.41,72,87,2.68
30,Mustvee,EE,2022-07-05 18:42:46,58.8486,26.9397,61.54,64,0,10.47
31,Strezhevoy,RU,2022-07-05 18:42:46,60.7333,77.5889,53.65,69,100,8.32
32,Ponta Do Sol,PT,2022-07-05 18:42:28,32.6667,-17.1,71.71,71,17,2.71
33,Vardo,NO,2022-07-05 18:42:47,70.3705,31.1107,51.78,93,75,12.66
34,Hermanus,ZA,2022-07-05 18:42:47,-34.4187,19.2345,48.79,74,0,1.79
35,Port Alfred,ZA,2022-07-05 18:42:47,-33.5906,26.891,57.18,92,100,3.0
36,Vila Velha,BR,2022-07-05 18:42:47,-20.3297,-40.2925,80.55,75,20,12.66
37,Chimbote,PE,2022-07-05 18:42:48,-9.0853,-78.5783,67.77,70,1,12.59
38,Saint-Philippe,RE,2022-07-05 18:41:21,-21.3585,55.7679,67.59,80,65,11.45
39,Mouila,GA,2022-07-05 18:42:48,-1.8685,11.0559,78.24,60,88,0.43
40,Tucuman,AR,2022-07-05 18:40:14,-26.8241,-65.2226,62.6,59,100,5.75
41,Manavalakurichi,IN,2022-07-05 18:42:48,8.1333,77.3,78.21,82,100,15.68
42,Busselton,AU,2022-07-05 18:42:49,-33.65,115.3333,53.55,62,100,10.49
43,Upernavik,GL,2022-07-05 18:42:41,72.7868,-56.1549,39.9,86,40,8.79
44,Grootfontein,NA,2022-07-05 18:42:49,-19.5667,18.1167,51.37,58,0,1.14
45,Talara,PE,2022-07-05 18:42:49,-4.5772,-81.2719,77.76,57,0,9.22
46,Usinsk,RU,2022-07-05 18:43:50,65.9939,57.5281,58.15,71,100,8.9
