City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Wegrow,PL,2022-07-07 15:50:43,52.3995,22.0163,69.91,55,95,6.13,overcast clouds
1,Umm Lajj,SA,2022-07-07 15:48:43,25.0213,37.2685,88.93,48,40,9.51,scattered clouds
2,Port Alfred,ZA,2022-07-07 15:48:28,-33.5906,26.891,59.18,76,31,1.01,scattered clouds
3,Esna,EG,2022-07-07 15:50:43,25.2934,32.554,102.22,9,27,13.6,scattered clouds
4,Gat,IL,2022-07-07 15:50:04,31.61,34.7642,86.4,38,0,10.67,clear sky
5,Hermanus,ZA,2022-07-07 15:48:35,-34.4187,19.2345,57.79,86,87,6.42,overcast clouds
6,Mahebourg,MU,2022-07-07 15:48:50,-20.4081,57.7,71.89,64,40,14.97,scattered clouds
7,Suez,EG,2022-07-07 15:42:00,29.9737,32.5263,94.19,17,0,4.81,clear sky
8,Saint-Philippe,RE,2022-07-07 15:48:46,-21.3585,55.7679,71.19,76,91,15.03,overcast clouds
9,Mar Del Plata,AR,2022-07-07 15:48:41,-38.0023,-57.5575,53.1,54,0,24.0,clear sky
10,Pergamino,AR,2022-07-07 15:50:34,-33.89,-60.5736,56.17,20,1,8.46,clear sky
11,Kisangani,CD,2022-07-07 15:50:44,0.5167,25.2,83.35,54,24,1.23,few clouds
12,Sinnamary,GF,2022-07-07 15:49:22,5.3833,-52.95,84.7,66,26,10.4,scattered clouds
13,Paamiut,GL,2022-07-07 15:48:55,61.994,-49.6678,41.83,90,23,8.97,few clouds
14,Georgetown,MY,2022-07-07 15:45:50,5.4112,100.3354,85.95,78,20,5.75,few clouds
15,Opuwo,NA,2022-07-07 15:40:59,-18.0607,13.84,77.14,17,0,9.93,clear sky
16,Santa Isabel Do Rio Negro,BR,2022-07-07 15:42:37,-0.4139,-65.0192,91.27,47,7,4.38,clear sky
17,Belluno,IT,2022-07-07 15:50:45,46.145,12.2214,74.43,87,100,1.01,light rain
18,Busselton,AU,2022-07-07 15:48:44,-33.65,115.3333,51.17,79,90,4.83,overcast clouds
19,Port Blair,IN,2022-07-07 15:48:28,11.6667,92.75,81.68,84,100,12.41,overcast clouds
20,Victoria,HK,2022-07-07 15:46:14,22.2855,114.1577,85.32,88,100,11.99,overcast clouds
21,Jamestown,US,2022-07-07 15:45:34,42.097,-79.2353,79.02,66,75,3.0,broken clouds
22,Sarakhs,IR,2022-07-07 15:50:46,36.5449,61.1577,85.69,16,0,10.71,clear sky
23,Pitimbu,BR,2022-07-07 15:42:28,-7.4706,-34.8086,79.39,84,98,17.56,overcast clouds
24,Beloha,MG,2022-07-07 15:48:36,-25.1667,45.05,68.49,62,0,7.54,clear sky
25,Sotouboua,TG,2022-07-07 15:50:46,8.5667,0.9833,82.11,76,83,4.36,light rain
26,San Carlos De Bariloche,AR,2022-07-07 15:50:30,-41.1456,-71.3082,40.24,75,40,21.85,scattered clouds
27,Ushuaia,AR,2022-07-07 15:45:14,-54.8,-68.3,33.42,80,75,8.05,light snow
28,Coracora,PE,2022-07-07 15:50:46,-15.0333,-73.7833,64.22,21,0,3.13,clear sky
29,Cape Town,ZA,2022-07-07 15:44:44,-33.9258,18.4232,60.39,83,75,11.5,light rain
30,Tasiilaq,GL,2022-07-07 15:48:32,65.6145,-37.6368,50.16,86,100,5.39,overcast clouds
31,Ostrovnoy,RU,2022-07-07 15:49:03,68.0531,39.5131,64.09,59,93,8.34,overcast clouds
32,Puerto Del Rosario,ES,2022-07-07 15:50:47,28.5004,-13.8627,76.75,69,20,20.71,few clouds
33,Torbay,CA,2022-07-07 15:45:55,47.6666,-52.7314,66.97,95,100,16.11,light rain
34,Saint George,US,2022-07-07 15:50:47,37.1041,-113.5841,86.43,17,0,4.61,clear sky
35,Punta Arenas,CL,2022-07-07 15:47:01,-53.15,-70.9167,32.02,93,20,6.91,few clouds
36,Inhambane,MZ,2022-07-07 15:49:31,-23.865,35.3833,69.78,64,20,3.44,few clouds
37,Dwarka,IN,2022-07-07 15:50:48,22.2394,68.9678,80.74,91,100,22.86,overcast clouds
38,Clyde River,CA,2022-07-07 15:48:39,70.4692,-68.5914,43.03,70,100,8.05,overcast clouds
39,Campo Verde,BR,2022-07-07 15:50:48,-20.4167,-54.0667,85.8,22,1,13.33,clear sky
40,Poltavka,RU,2022-07-07 15:50:48,54.3663,71.7632,63.37,77,20,6.96,few clouds
41,Puerto Quijarro,BO,2022-07-07 15:50:49,-17.7833,-57.7667,92.48,20,2,8.52,clear sky
42,Araouane,ML,2022-07-07 15:50:49,18.9048,-3.5265,107.17,16,29,8.5,scattered clouds
43,Lar,IN,2022-07-07 15:50:49,26.2039,83.9717,97.23,43,86,11.7,overcast clouds
44,Iqaluit,CA,2022-07-07 15:50:50,63.7506,-68.5145,38.93,93,100,4.61,mist
45,Maldonado,UY,2022-07-07 15:50:50,-34.6667,-54.9167,52.99,45,0,18.5,clear sky
46,Rudbar,AF,2022-07-07 15:41:04,30.15,62.6,93.04,18,100,4.41,overcast clouds
47,Jumla,NP,2022-07-07 15:49:14,29.2747,82.1838,66.16,92,75,2.66,broken clouds
48,Sao Felix Do Xingu,BR,2022-07-07 15:42:40,-6.6447,-51.995,91.92,33,2,6.53,clear sky
49,San Cristobal,VE,2022-07-07 15:40:53,7.7669,-72.225,78.98,58,41,7.99,scattered clouds
50,Peterhead,GB,2022-07-07 15:50:51,57.5058,-1.7981,66.6,83,57,11.56,broken clouds
51,Kuopio,FI,2022-07-07 15:50:51,62.8924,27.677,58.95,88,98,12.66,overcast clouds
52,Lagoa,PT,2022-07-07 15:49:34,39.05,-27.9833,66.34,78,99,13.27,overcast clouds
53,Ilulissat,GL,2022-07-07 15:48:44,69.2167,-51.1,42.82,87,75,2.3,broken clouds
54,Mecca,SA,2022-07-07 15:42:14,21.4267,39.8261,95.47,18,34,14.25,scattered clouds
55,Oromocto,CA,2022-07-07 15:50:51,45.8351,-66.4792,72.3,39,40,10.36,scattered clouds
56,Barahona,DO,2022-07-07 15:50:52,18.2085,-71.1008,85.82,79,20,11.5,few clouds
57,Tabuk,PH,2022-07-07 15:50:52,17.4189,121.4443,76.01,89,99,2.55,overcast clouds
58,Begoro,GH,2022-07-07 15:50:52,6.3871,-0.3774,77.94,81,77,2.35,light rain
59,Quelimane,MZ,2022-07-07 15:41:54,-17.8786,36.8883,73.35,78,20,6.91,few clouds
60,Karatau,KZ,2022-07-07 15:50:53,43.1667,70.4667,69.51,30,0,5.79,clear sky
61,Mezen,RU,2022-07-07 15:42:15,65.8522,44.24,56.82,97,100,2.55,light rain
62,Ponta Delgada,PT,2022-07-07 15:49:12,37.7333,-25.6667,75.51,62,51,8.43,broken clouds
63,Vijayawada,IN,2022-07-07 15:45:57,16.5167,80.6167,80.55,94,100,0.0,moderate rain
64,Tyukhtet,RU,2022-07-07 15:50:53,56.5389,89.3011,60.19,89,81,5.21,broken clouds
65,Bardiyah,LY,2022-07-07 15:41:39,31.7561,25.0865,82.42,69,0,15.12,clear sky
66,Tarko-Sale,RU,2022-07-07 15:50:53,64.9225,77.785,67.14,60,75,8.9,broken clouds
67,Nanortalik,GL,2022-07-07 15:48:27,60.1432,-45.2371,45.07,88,77,5.35,broken clouds
68,Bembibre,ES,2022-07-07 15:50:54,42.6177,-6.4155,90.25,11,0,5.99,clear sky
69,Tocopilla,CL,2022-07-07 15:50:54,-22.092,-70.1979,68.25,60,44,5.08,scattered clouds
70,Kilindoni,TZ,2022-07-07 15:50:54,-7.9139,39.6668,76.57,73,12,14.14,few clouds
71,Yar-Sale,RU,2022-07-07 15:48:43,66.8333,70.8333,67.42,77,54,9.4,moderate rain
72,Bredasdorp,ZA,2022-07-07 15:48:47,-34.5322,20.0403,54.21,83,54,6.49,broken clouds
73,Kristianstad,SE,2022-07-07 15:50:55,56.0313,14.1524,69.94,71,75,11.5,broken clouds
74,Dhidhdhoo,MV,2022-07-07 15:50:55,6.8833,73.1,81.66,83,100,13.98,overcast clouds
75,Zhukovka,RU,2022-07-07 15:50:55,53.534,33.728,68.27,73,38,8.43,scattered clouds
76,Port Elizabeth,ZA,2022-07-07 15:50:56,-33.918,25.5701,61.09,88,0,6.91,clear sky
77,Sal Rei,CV,2022-07-07 15:50:56,16.1833,-22.9167,79.0,69,75,18.41,broken clouds
78,Husavik,IS,2022-07-07 15:50:56,66.0449,-17.3389,52.11,87,100,6.15,overcast clouds
79,Jesup,US,2022-07-07 15:50:56,31.6074,-81.8854,92.95,58,0,0.0,clear sky
